investorId|companyId|createTime|ratio
2199023260190|14293651191088|1666576259931|0.2210405769624077
28587302400795|14293651191088|1669299701660|0.15717616012452668
26388279088852|14293651191088|1667144833850|0.09719613627552519
24189255842094|14293651191088|1670819094855|0.10634332351417397
28587302334980|14293651191088|1669289402792|0.008225804154502511
6597069832855|15393162818866|1672452405452|0.3138655028546422
8796093069445|15393162818866|1671536203921|0.4095122225894318
55295|15393162818866|1672415659810|0.27662227455592603
10995116303496|6597069796659|1650507096933|0.1752640299109049
28587302336335|6597069796659|1669430921567|0.1474389554394881
21519|6597069796659|1635703742234|0.057188800160278205
28587302356350|6597069796659|1669288349540|0.10211455667079124
15393162790687|6597069796659|1645810270174|0.1641450429763896
28587302334339|6597069796659|1671502975728|0.09461394228866096
10995116312210|8796093052212|1642073021433|0.3117238353034331
19791209355947|8796093052212|1670956198558|0.42290315107133153
15393162829785|8796093052212|1647791904748|0.05563622128126754
2199023281348|8796093052212|1665546844811|0.08242946305767922
2199023310039|8796093052212|1647390604757|0.09898230500257837
26388279109276|7696581424437|1666256104963|0.20555880711934993
10995116335710|7696581424437|1645475241213|0.06972067067180893
26388279120399|7696581424437|1670344754940|9.938287053869181E-4
10995116291210|7696581424437|1640404566992|0.30106881335195573
4398046515941|7696581424437|1670774992626|0.17494918815121405
21990232563597|6597069796662|1655701016530|0.19905013102716776
10995116348380|6597069796662|1645416709221|0.1968296546395544
21990232587649|6597069796662|1669031625993|0.17820803316054004
15393162805542|6597069796662|1647761094916|0.018487373816389385
30786325616275|6597069796662|1671874739304|0.13045724752999427
21990232634249|6597069796662|1661399074826|0.11948851959165244
26388279139274|10995116307767|1664978124970|0.3233611792826504
6597069787571|10995116307767|1666096853671|0.17755423503410123
2199023294563|10995116307767|1669393670280|0.2356644191618471
6597069834480|2199023285560|1654857621867|0.15789490519764257
74605|2199023285560|1661676266358|0.061132662668787176
26388279085548|10995116307769|1659040225913|0.48345361458582214
30786325592885|10995116307769|1672337807096|0.12526985158550205
2199023285038|10995116307769|1672398395753|0.3912765338286757
26388279132447|3298534913338|1663463450471|0.34764740182223247
48556|3298534913338|1611256738766|0.29859689872807654
30786325609043|1099511657787|1672509176041|0.2272976094611252
6597069775143|1099511657787|1643394824856|0.04252230717108143
6597069827023|1099511657788|1624834102248|0.03694192135070244
17592186071118|1099511657788|1639921087841|0.1475277640065667
43945|1099511657788|1628351081509|0.18847958593640873
30786325628015|1099511657788|1671567781040|0.22716682664241492
6597069812605|1099511657788|1616123619033|0.19155245778071603
28587302343344|1099511657788|1670936570569|0.040391215959393684
2199023327636|10995116307773|1654218864969|0.3011097397625607
10995116290058|10995116307773|1671500747175|0.048246799648565535
10995116325379|10995116307773|1661628568198|0.3456601463394324
33753|7696581424446|1664527092817|0.4197204112787128
19791209345902|7696581424446|1662328329354|0.23973167876483417
24189255815859|7696581424446|1668255964216|0.13975152375237487
28587302341166|7696581424446|1665171921218|0.08590899388384342
64664|13194139563327|1660925005334|0.16425460730578142
19791209309386|13194139563327|1667935295300|0.4338456330373022
13194139558006|8796093052224|1644545513685|0.12415879198328539
6597069784107|8796093052224|1638258414023|0.027246011825940802
8796093064612|8796093052224|1658946676785|0.11703537551330304
24556|8796093052224|1641015152875|0.13605292135036826
10995116299731|8796093052224|1665988514764|0.1619513910527786
21990232576853|8796093052224|1663892896718|0.1038752934446073
26388279070779|6597069796673|1670313934058|0.1353849796626617
10995116284281|6597069796673|1645020008481|0.019557275076683728
13194139556465|6597069796673|1669934207802|0.11804487011864487
21990232577784|6597069796673|1652163060848|0.00640231704229576
21990232607821|14293651191106|1668485863958|0.37502203029801495
4398046530943|14293651191106|1669391000665|0.0568559097911897
6597069829804|14293651191106|1671217504700|0.23622467131006633
15393162829886|13194139563331|1661087219601|0.0998029719767603
19791209341559|13194139563331|1662874355664|0.1253819676128362
12947|13194139563331|1666225862890|0.02655648393450708
6597069789647|13194139563331|1670035815866|0.27753539936173
21990232620154|2199023285572|1669821446271|0.1266940484587553
73955|2199023285572|1631167896553|0.10174476193888565
26388279113707|2199023285572|1660604778845|0.10818738275336809
19791209324696|2199023285572|1654420894909|0.0820164046580766
24189255848787|2199023285572|1658932589564|0.14183000214505023
6597069832134|2199023285572|1620554482215|0.15558737134606782
28587302359492|2199023285572|1672225614078|0.1595529013362476
17592186091148|14293651191109|1666772416812|0.20553131913809744
48782|14293651191109|1671649242164|0.004575568863941187
28587302342871|14293651191109|1670593828369|0.3708943106818804
17592186099543|14293651191109|1666926282307|0.05597590625650618
21990232632179|14293651191109|1672146893934|0.19510349365011984
17592186089175|30022|1672246842872|0.13142431256821924
10995116325692|30022|1653888127245|0.1329976749935633
6597069841200|30022|1634597157558|0.1661554670374918
15393162850357|30022|1630357646937|0.040450537355284456
24189255840554|30022|1664511547163|0.13069409263073895
8796093078758|5497558168903|1618528605682|0.1769351101217882
8796093043146|5497558168903|1663489472271|0.2259180436978037
4398046576760|5497558168903|1649656969598|0.009314564180883942
67319|5497558168903|1639903909327|0.10104163890402892
17592186054658|6597069796680|1648631330304|0.4690616868894685
