id|createTime|loanAmount|balance|usage|interestRate
4879651020889653248|1660222698692|87546474,00|87546474,00|renovations|0,094
4867829071867805697|1656561132059|95229942,00|95229942,00|business ventures|0,090
4791267878202507266|1633069687711|46335990,00|46335990,00|education|0,078
4860792197450039299|1654428108645|83941103,00|83941103,00|business ventures|0,069
4919620467582566404|1672460980702|5481728,00|5481728,00|vacations|0,021
4917931617722302469|1671970935165|91694574,00|91694574,00|renovations|0,042
4917931617722302470|1672007300824|10220153,00|10220153,00|weddings|0,088
4836022399499501575|1646764221580|65706506,00|65706506,00|investing|0,092
4788734603412111368|1632311940189|99172595,00|99172595,00|investing|0,083
4847844348521349129|1650430078326|48056153,00|48056153,00|major purchases|0,047
4763401855508152330|1624476379419|8621688,00|8621688,00|renovations|0,024
4850940573265166347|1651389377242|1857258,00|1857258,00|education|0,068
4918494567675723788|1672112025615|63607192,00|63607192,00|funerals|0,001
4917931617722302477|1671952027618|80920848,00|80920848,00|education|0,027
4916524242838749198|1671519945966|20803925,00|20803925,00|funerals|0,071
4896258044515581967|1665283977448|13697542,00|13697542,00|major purchases|0,012
4917931617722302480|1671927358891|67303570,00|67303570,00|other|0,036
4890910019958079505|1663646339983|12619787,00|12619787,00|major purchases|0,050
4904702293816901650|1667931139032|85191235,00|85191235,00|other|0,087
4913990968048353299|1670724802593|28477353,00|28477353,00|funerals|0,084
4914835392978485268|1671045375021|10796582,00|10796582,00|weddings|0,052
4911176218281246741|1669906148713|23232221,00|23232221,00|debt consolidation|0,090
4891754444888211478|1663946304792|99030107,00|99030107,00|vacations|0,005
4915116867955195927|1671071836056|7699034,00|7699034,00|vacations|0,042
4865858747030831128|1655927652463|85663546,00|85663546,00|weddings|0,029
4801119502387380249|1636069563468|66363246,00|66363246,00|other|0,041
4789860503318954010|1632662223492|78274751,00|78274751,00|major purchases|0,058
4896258044515581979|1665295683853|76650452,00|76650452,00|weddings|0,061
4863888422193856540|1655350901310|9643163,00|9643163,00|debt consolidation|0,063
4917931617722302493|1671969642896|84871635,00|84871635,00|medical expenses|0,069
4897383944422424606|1665657124213|41398538,00|41398538,00|debt consolidation|0,069
4900480169166241823|1666591657456|12863057,00|12863057,00|investing|0,012
4906391143677165600|1668417311514|48233198,00|48233198,00|debt consolidation|0,065
4866703171960963105|1656258484456|70341707,00|70341707,00|investing|0,065
4891754444888211490|1663887789973|64665654,00|64665654,00|funerals|0,069
4895413619585450019|1665069686470|98792856,00|98792856,00|medical expenses|0,090
4906672618653876260|1668493366287|74220094,00|74220094,00|funerals|0,035
4889784120051236901|1663333924480|39249272,00|39249272,00|other|0,045
4883591670563602470|1661437186317|88096824,00|88096824,00|investing|0,095
4915961292885327911|1671324123716|25540319,00|25540319,00|medical expenses|0,055
4739757957464457256|1617248236079|58136436,00|58136436,00|renovations|0,057
4693877536260620329|1603169849843|29246248,00|29246248,00|education|0,073
4803089827224354858|1636689584895|34228934,00|34228934,00|business ventures|0,064
4870080871681490987|1657308592723|77338927,00|77338927,00|renovations|0,080
4861918097356881964|1654729888829|11150773,00|11150773,00|funerals|0,059
4857414497729511469|1653352440720|57213504,00|57213504,00|vacations|0,032
4840244524150161454|1648063573906|37484712,00|37484712,00|other|0,078
4914835392978485295|1671003587123|41178099,00|41178099,00|weddings|0,073
4897102469445713968|1665562499471|81191397,00|81191397,00|business ventures|0,002
4883310195586891825|1661297677944|95762628,00|95762628,00|vacations|0,069
4919620467582566450|1672488692295|35688076,00|35688076,00|other|0,001
4917931617722302515|1671926648834|40693052,00|40693052,00|weddings|0,002
4919620467582566452|1672526280369|55283737,00|55283737,00|renovations|0,018
4917650142745591861|1671901518029|71081781,00|71081781,00|medical expenses|0,013
4692470161377067062|1602727426794|59160547,00|59160547,00|renovations|0,085
4876273321169125431|1659144018531|71732757,00|71732757,00|funerals|0,071
4915116867955195960|1671064081121|48364906,00|48364906,00|renovations|0,037
4807311951875014713|1637984638590|17599079,00|17599079,00|investing|0,039
4851784998195298362|1651607054100|59444586,00|59444586,00|medical expenses|0,045
4916524242838749243|1671563440825|54745053,00|54745053,00|medical expenses|0,033
4845029598754242620|1649613655282|87101686,00|87101686,00|renovations|0,063
4875147421262282813|1658834826696|69521982,00|69521982,00|business ventures|0,100
4779727404157370430|1629490732202|75846963,00|75846963,00|renovations|0,004
4813504401362649151|1639913060282|58254022,00|58254022,00|funerals|0,002
4865295797077409856|1655786088550|17611344,00|17611344,00|debt consolidation|0,042
4911739168234668097|1670107538050|90528837,00|90528837,00|business ventures|0,032
4903857868886769730|1667635138256|45993137,00|45993137,00|renovations|0,043
4849814673358323779|1651034624131|65131865,00|65131865,00|renovations|0,003
4832926174755684420|1645841430137|43171495,00|43171495,00|debt consolidation|0,062
4918776042652434501|1672267828327|91915930,00|91915930,00|weddings|0,094
4836585349452922950|1646945422704|3992051,00|3992051,00|business ventures|0,069
4690781311516803143|1602189578519|77299397,00|77299397,00|major purchases|0,041
4674174287890874440|1597042228619|46518409,00|46518409,00|medical expenses|0,095
4910331793351114825|1669623398301|19793607,00|19793607,00|debt consolidation|0,100
4918776042652434506|1672254833692|73359714,00|73359714,00|business ventures|0,089
4662915288822448203|1593650592598|36053982,00|36053982,00|major purchases|0,014
4889784120051236940|1663283821341|7009332,00|7009332,00|funerals|0,048
4763683330484863053|1624555952159|12695712,00|12695712,00|renovations|0,052
4806186051968172110|1637652268605|66314325,00|66314325,00|major purchases|0,061
4872895621448597583|1658091600339|12043048,00|12043048,00|investing|0,069
4828141100151603280|1644353375657|56909788,00|56909788,00|investing|0,016
4909768843397693521|1669444693034|63193538,00|63193538,00|other|0,004
4830674374941999186|1645145514381|32549506,00|32549506,00|education|0,023
4850096148335034451|1651159070713|82247801,00|82247801,00|investing|0,012
4862199572333592660|1654814165072|9215262,00|9215262,00|renovations|0,006
4858258922659643477|1653654913914|41145850,00|41145850,00|major purchases|0,004
4883873145540313174|1661478477641|39728680,00|39728680,00|weddings|0,037
4818570950943440983|1641484526731|6953708,00|6953708,00|education|0,046
4840807474103582808|1648299570645|1832797,00|1832797,00|investing|0,062
4841088949080293465|1648394240905|19554795,00|19554795,00|investing|0,053
4877680696052678746|1659609825399|93702655,00|93702655,00|weddings|0,026
4914272443025064027|1670864629742|61396286,00|61396286,00|vacations|0,098
4874302996332150876|1658522325359|13316087,00|13316087,00|debt consolidation|0,059
4910894743304536157|1669814983310|71924675,00|71924675,00|renovations|0,071
4906672618653876318|1668540181056|5092057,00|5092057,00|medical expenses|0,082
4917650142745591903|1671841580791|94803413,00|94803413,00|weddings|0,006
4915679817908617312|1671284706173|83563767,00|83563767,00|education|0,038
4906109668700455009|1668361237492|26925132,00|26925132,00|renovations|0,026
4816882101083177058|1640880228711|30275208,00|30275208,00|education|0,088
4862199572333592675|1654833143189|74265527,00|74265527,00|other|0,028
4705980960259178596|1606833583769|82022030,00|82022030,00|education|0,066
4653063664637575269|1590600153524|4495212,00|4495212,00|renovations|0,076
4897102469445714022|1665527639471|32208504,00|32208504,00|funerals|0,061
4915398342931906663|1671209260466|34444240,00|34444240,00|renovations|0,097
4919620467582566504|1672500445787|18454385,00|18454385,00|medical expenses|0,050
4878243646006100073|1659788912634|11278022,00|11278022,00|weddings|0,098
4872895621448597610|1658124369205|66245574,00|66245574,00|funerals|0,080
4848407298474770539|1650623287987|29546752,00|29546752,00|debt consolidation|0,039
4888376745167683692|1662902913755|69202721,00|69202721,00|investing|0,030
4866984646937673837|1656313601342|73314143,00|73314143,00|debt consolidation|0,052
4905265243770323054|1668109168779|33336543,00|33336543,00|medical expenses|0,012
4888939695121105007|1663044055372|39899322,00|39899322,00|debt consolidation|0,035
4913428018094932080|1670569156274|58136814,00|58136814,00|debt consolidation|0,018
4863888422193856625|1655358429337|61305002,00|61305002,00|funerals|0,067
4740883857371299954|1617584774340|66357804,00|66357804,00|other|0,055
4913709493071642739|1670640559925|16347059,00|16347059,00|medical expenses|0,090
4919620467582566516|1672499157454|8674586,00|8674586,00|weddings|0,082
4916242767862038645|1671486313728|42988035,00|42988035,00|medical expenses|0,090
4724558308722081910|1612571480092|68936226,00|68936226,00|business ventures|0,021
4807593426851725431|1638079493749|59108903,00|59108903,00|renovations|0,083
4809845226665410680|1638732854533|40283724,00|40283724,00|other|0,008
4890347070004658297|1663482151103|73057255,00|73057255,00|education|0,052
4731595183139848314|1614732703489|85613251,00|85613251,00|renovations|0,043
4875428896238993531|1658914039454|52524958,00|52524958,00|renovations|0,017
4902731968979927164|1667310674806|91482335,00|91482335,00|vacations|0,090
4860792197450039421|1654374710244|48747087,00|48747087,00|medical expenses|0,072
4697536710957858942|1604248198935|91203958,00|91203958,00|business ventures|0,061
4742854182208274559|1618190443532|41354954,00|41354954,00|other|0,039
4749046631695908992|1620064763174|20424199,00|20424199,00|weddings|0,074
4785638378668294273|1631333869303|68271034,00|68271034,00|funerals|0,021
4912583593164800130|1670329022718|30523860,00|30523860,00|medical expenses|0,032
4793519678016192643|1633732869705|36396397,00|36396397,00|debt consolidation|0,025
4861073672426750084|1654489199222|39724908,00|39724908,00|debt consolidation|0,097
4875991846192414853|1659089282113|62285491,00|62285491,00|other|0,090
4808437851781857414|1638309582032|64290816,00|64290816,00|major purchases|0,089
4905828193723744391|1668217857090|86305624,00|86305624,00|weddings|0,001
4802245402294222984|1636397759449|40967425,00|40967425,00|major purchases|0,003
4918494567675723913|1672172154933|12653378,00|12653378,00|education|0,048
4895695094562160778|1665131253776|68453496,00|68453496,00|vacations|0,044
4904139343863480459|1667774349470|67278735,00|67278735,00|debt consolidation|0,087
4891191494934790284|1663739504862|45089957,00|45089957,00|other|0,012
4887813795214262413|1662728178433|28011966,00|28011966,00|weddings|0,057
4821948650663968910|1642465937013|61530871,00|61530871,00|major purchases|0,040
4818852425920151695|1641519729150|5061656,00|5061656,00|vacations|0,061
4811815551502385296|1639323557252|88280150,00|88280150,00|investing|0,002
4861073672426750097|1654467393377|52207312,00|52207312,00|medical expenses|0,029
4896820994469003410|1665480373889|15750948,00|15750948,00|weddings|0,043
4879651020889653395|1660194830869|85555442,00|85555442,00|education|0,009
4901606069073084564|1666986925819|78232652,00|78232652,00|renovations|0,087
4828141100151603349|1644379262786|98220643,00|98220643,00|funerals|0,027
4768468405088944278|1626065200524|79994202,00|79994202,00|funerals|0,043
4888939695121105047|1663102040000|59165553,00|59165553,00|investing|0,021
4842777798940557464|1648903750639|29416137,00|29416137,00|investing|0,085
4624916166966509721|1581947143000|16312087,00|16312087,00|weddings|0,088
4645745315243098266|1588329910112|53063429,00|53063429,00|funerals|0,048
4893161819771764891|1664364180572|8891960,00|8891960,00|medical expenses|0,078
4919620467582566556|1672472762414|76788539,00|76788539,00|other|0,055
4900761644142952605|1666699510555|33466868,00|33466868,00|vacations|0,019
4899072794282688670|1666181563639|42193798,00|42193798,00|major purchases|0,063
4895413619585450143|1665037719860|2232160,00|2232160,00|education|0,057
4875710371215704224|1659025216801|27791036,00|27791036,00|debt consolidation|0,039
4914272443025064097|1670812586757|14177196,00|14177196,00|major purchases|0,069
4873458571402018978|1658283285756|28103603,00|28103603,00|medical expenses|0,017
4880495445819785379|1660497974069|25860036,00|25860036,00|renovations|0,015
4908924418467561636|1669216238835|17122534,00|17122534,00|investing|0,022
4870080871681491109|1657278372107|41913337,00|41913337,00|education|0,087
4850659098288455846|1651297938084|63997790,00|63997790,00|medical expenses|0,050
4886406420330709159|1662292847399|17675359,00|17675359,00|funerals|0,048
4905828193723744424|1668261789681|51769430,00|51769430,00|funerals|0,074
4913709493071642793|1670638051423|11005190,00|11005190,00|weddings|0,084
4817445051036598442|1641052955359|60856192,00|60856192,00|renovations|0,044
4790704928249086123|1632847477005|96987597,00|96987597,00|major purchases|0,091
4789579028342243500|1632497003920|22284508,00|22284508,00|vacations|0,038
4881339870749917357|1660717566560|28497386,00|28497386,00|education|0,089
4787045753551847598|1631780376470|68375426,00|68375426,00|weddings|0,029
4757772355973939375|1622746789441|73073615,00|73073615,00|other|0,069
4786482803598426288|1631591327298|23913916,00|23913916,00|education|0,091
4886687895307419825|1662337799045|77577759,00|77577759,00|major purchases|0,065
4893724769725186226|1664557923917|3816728,00|3816728,00|renovations|0,080
4819978325826994355|1641901257523|45416682,00|45416682,00|major purchases|0,079
4717802909281026228|1610494878396|42344292,00|42344292,00|funerals|0,079
4800838027410669749|1635973162479|75294688,00|75294688,00|medical expenses|0,051
4844466648800821430|1649440761913|14186203,00|14186203,00|major purchases|0,074
4833489124709105847|1645991715803|60144175,00|60144175,00|renovations|0,011
4887250845260841144|1662512826706|97156810,00|97156810,00|weddings|0,029
4879369545912942777|1660152950488|25248784,00|25248784,00|business ventures|0,046
4892035919864922298|1664047022546|46592961,00|46592961,00|major purchases|0,059
4892880344795054267|1664246248412|89832756,00|89832756,00|funerals|0,049
4881058395773206716|1660668848509|13591058,00|13591058,00|funerals|0,018
4898228369352556733|1665954477974|10517720,00|10517720,00|vacations|0,013
4799149177550405822|1635501265052|83660842,00|83660842,00|renovations|0,057
4816600626106466495|1640813374977|99750321,00|99750321,00|major purchases|0,055
4686277711889432768|1600759958058|63244921,00|63244921,00|major purchases|0,060
4804497202107908289|1637086199400|30665000,00|30665000,00|debt consolidation|0,064
4793801152992903362|1633805845411|1611370,00|1611370,00|other|0,011
4695847861097595075|1603760316335|20512536,00|20512536,00|other|0,040
4784512478761451716|1630935043808|75154337,00|75154337,00|business ventures|0,082
4918213092699013317|1672043246990|65418527,00|65418527,00|major purchases|0,033
4746513356905513158|1619301816048|54340830,00|54340830,00|vacations|0,051
4882184295680049351|1660965420804|83647739,00|83647739,00|other|0,049
4780290354110791880|1629656443507|77394905,00|77394905,00|major purchases|0,050
4767905455135523017|1625857664250|45610086,00|45610086,00|vacations|0,063
4804778677084618954|1637175308477|30793981,00|30793981,00|weddings|0,067
4901043119119663307|1666780163935|60436161,00|60436161,00|major purchases|0,046
4896539519492292812|1665424500593|35231383,00|35231383,00|weddings|0,099
4894569194655318221|1664774250043|85282982,00|85282982,00|other|0,049
4899917219212820686|1666468346907|89718028,00|89718028,00|renovations|0,028
4806467526944882895|1637684907258|90353811,00|90353811,00|business ventures|0,034
4801119502387380432|1636072188319|88852789,00|88852789,00|education|0,021
4831518799872131281|1645458393614|33880106,00|33880106,00|debt consolidation|0,034
4850659098288455890|1651335659797|88576606,00|88576606,00|education|0,012
4914553918001774803|1670897970782|14755649,00|14755649,00|weddings|0,013
4855444172892537044|1652744482059|5182326,00|5182326,00|vacations|0,001
4836303874476212437|1646850495586|93948783,00|93948783,00|debt consolidation|0,055
4873177096425308374|1658185819380|47266039,00|47266039,00|funerals|0,096
4799712127503827159|1635620618543|15377491,00|15377491,00|business ventures|0,032
4917931617722302680|1671989039689|14472647,00|14472647,00|other|0,049
4912583593164800217|1670318804977|27014248,00|27014248,00|major purchases|0,030
4915116867955196122|1671080158133|38796151,00|38796151,00|debt consolidation|0,028
4910050318374404315|1669528762443|87989159,00|87989159,00|debt consolidation|0,045
4825889300337918172|1643669939277|76156674,00|76156674,00|medical expenses|0,034
4842777798940557533|1648871495187|88504355,00|88504355,00|vacations|0,027
4913709493071642846|1670656890092|77691107,00|77691107,00|major purchases|0,055
4906672618653876447|1668525054582|52565915,00|52565915,00|debt consolidation|0,095
4910050318374404320|1669554457355|93085355,00|93085355,00|business ventures|0,010
4797741802666852577|1635034844761|38812190,00|38812190,00|medical expenses|0,031
4809000801735278818|1638526188176|52209768,00|52209768,00|education|0,030
4854881222939115747|1652584928023|78149315,00|78149315,00|medical expenses|0,033
4910613268327825636|1669710587193|38746304,00|38746304,00|business ventures|0,072
4916242767862038757|1671430637492|2661517,00|2661517,00|funerals|0,001
4904139343863480550|1667693856729|98299653,00|98299653,00|medical expenses|0,068
4783668053831319783|1630732391062|42222321,00|42222321,00|major purchases|0,067
4742009757278142696|1617896685579|90050558,00|90050558,00|major purchases|0,055
4836585349452923113|1647018430325|58001883,00|58001883,00|other|0,063
4853192373078851818|1652052434688|87205462,00|87205462,00|vacations|0,008
4848688773451481323|1650733851159|36584905,00|36584905,00|weddings|0,084
4855444172892537068|1652784672981|67099625,00|67099625,00|funerals|0,071
4885561995400577261|1662037247851|42075925,00|42075925,00|weddings|0,009
4911176218281246958|1669904980020|85141894,00|85141894,00|education|0,069
4900480169166242031|1666615931507|29298121,00|29298121,00|medical expenses|0,017
4822230125640679664|1642604614709|7005066,00|7005066,00|renovations|0,059
4914272443025064177|1670883680102|81674213,00|81674213,00|investing|0,081
4786764278575137010|1631660768040|81265907,00|81265907,00|debt consolidation|0,092
4798023277643563251|1635155098972|93932258,00|93932258,00|vacations|0,018
4820822750757126388|1642145468029|84858224,00|84858224,00|other|0,078
4908079993537429749|1668904783461|65047480,00|65047480,00|funerals|0,000
4864451372147278070|1655497471584|75544576,00|75544576,00|business ventures|0,073
4897102469445714167|1665556883084|59779591,00|59779591,00|debt consolidation|0,042
4812941451409228024|1639698001803|28542375,00|28542375,00|major purchases|0,099
4908924418467561721|1669177018491|14566974,00|14566974,00|other|0,070
4903857868886769914|1667677297829|95162697,00|95162697,00|other|0,042
4845311073730953467|1649659734181|90430785,00|90430785,00|medical expenses|0,023
4827578150198182140|1644251862529|82984390,00|82984390,00|education|0,092
4812941451409228029|1639703735987|66145262,00|66145262,00|medical expenses|0,014
