mediumId|accountId|multiplicityId|createTime|deleteTime|isExplicitDeleted|location
39582418679936|4808156651683065380|0|1663980972230|1893196800000|false|Brazil -> São_Luís
39582418679936|4808156651683065380|1|1643252896593|1893196800000|false|South_Africa -> Mthatha
39582418679936|4808156651683065380|2|1663178241331|1893196800000|false|China -> Chaozhou
39582418679936|4808156651683065380|3|1646749593037|1893196800000|false|Belarus -> Vitebsk
8796093102209|4821949475297705029|0|1658891791414|1893196800000|false|Brazil -> Londrina
8796093102209|4821949475297705029|1|1668575835840|1893196800000|false|Japan -> Ichikawa
8796093102209|4821949475297705029|2|1658244325724|1893196800000|false|Vietnam -> Bắc_Giang
8796093102209|4821949475297705029|3|1649804357522|1893196800000|false|China -> Chaoyang
8796093102209|4821949475297705029|4|1670732035546|1893196800000|false|Japan -> Yokosuka
8796093102209|4821949475297705029|5|1644264698417|1893196800000|false|Belgium -> Paris
26388279146627|4918212542943217148|0|1672445226145|1893196800000|false|Burma -> Loikaw
43980465191045|4751862206096743546|0|1672039663534|1893196800000|false|Hungary -> Zalaegerszeg
43980465191045|4751862206096743546|1|1655883341919|1893196800000|false|Germany -> Frankfurt
43980465191045|4829829675133981151|0|1657688042733|1893196800000|false|China -> Gejiu
43980465191045|4829829675133981151|1|1662146176501|1893196800000|false|China -> Zhuhai
43980465191045|4829829675133981151|2|1671246613688|1893196800000|false|Russia -> Ulan-Ude
43980465191045|4829829675133981151|3|1661799843700|1893196800000|false|China -> Harbin
43980465191045|4829829675133981151|4|1657848718802|1893196800000|false|India -> Visakhapatnam
43980465191045|4829829675133981151|5|1667838982419|1893196800000|false|Russia -> Ufa
43980465191045|4829829675133981151|6|1658861408595|1893196800000|false|China -> Arxan
43980465191045|4829829675133981151|7|1662032709357|1893196800000|false|Russia -> Omsk
43980465191047|4813505225996372622|0|1671085154876|1893196800000|false|Pakistan -> Risalpur
43980465191047|4878526220494445595|0|1659862144885|1659955357150|true|Swaziland -> Kwaluseni
4398046591112|307652974178472343|0|1672449381968|1893196800000|false|Japan -> Sapporo
4398046591112|307652974178472343|1|1672490857329|1893196800000|false|Pakistan -> Abbottabad
4398046591112|307652974178472343|2|1672407889660|1893196800000|false|South_Korea -> Busan
