mediumId|accountId|multiplicityId|createTime|deleteTime|isExplicitDeleted|location
90000|122441889747057906|0|1631258724620|1893196800000|false|Tanzania -> Unguja
90000|122441889747057906|1|1659859470013|1893196800000|false|Ethiopia -> Debre_Marqos
90000|122441889747057906|2|1670426935352|1893196800000|false|Mexico -> Mexicali
90000|122441889747057906|3|1651222609936|1893196800000|false|India -> Jajapur
90000|122441889747057906|4|1636874125021|1893196800000|false|Pakistan -> Sukkur
90000|122441889747057906|5|1663273366751|1893196800000|false|Romania -> Brașov
90000|122441889747057906|6|1671904329021|1893196800000|false|Slovenia -> Ljubljana
90000|122441889747057906|7|1646140685674|1893196800000|false|Belarus -> Grodno
90000|122441889747057906|8|1655838275656|1893196800000|false|Peru -> Chorrillos_District
13194139623313|4902450494003224228|0|1667835136140|1668541733093|true|India -> Aizawl
13194139623313|4902450494003224228|1|1668151696998|1668541733093|true|Sri_Lanka -> Ratmalana_Airport
13194139623313|4902450494003224228|2|1667236282887|1668541733093|true|China -> Beiliu
13194139623313|4902450494003224228|3|1668128584448|1668541733093|true|China -> Harbin
13194139623313|4902450494003224228|4|1667618518656|1668541733093|true|Chile -> Osorno
13194139623313|4902450494003224228|5|1667819436055|1668541733093|true|India -> Noida
39582418689938|259239278184250354|0|1666468099311|1893196800000|false|China -> Changzhi
39582418689938|259239278184250354|1|1665497183315|1893196800000|false|Moldova -> Chişinău
39582418689938|259239278184250354|2|1668586801525|1893196800000|false|England -> Birmingham
39582418689938|259239278184250354|3|1672239865076|1893196800000|false|Chile -> Iquique
39582418689938|259239278184250354|4|1664996571932|1893196800000|false|India -> Rourkela
39582418689938|259239278184250354|5|1671846782642|1893196800000|false|Mexico -> Tepic
39582418689938|259239278184250354|6|1663662196434|1893196800000|false|United_States -> Cambridge
39582418689938|259239278184250354|7|1669847195744|1893196800000|false|Belgium -> Ottignies-Louvain-la-Neuve
57174604734355|4646590839684861693|0|1671097125125|1893196800000|false|United_States -> New_Haven
57174604734355|4646590839684861693|1|1666406125399|1893196800000|false|India -> Hisar
57174604734355|4646590839684861693|2|1667124281595|1893196800000|false|China -> Daqing
57174604734355|4646590839684861693|3|1667342681459|1893196800000|false|Nepal -> Lalitpur
57174604734355|4646590839684861693|4|1666627389806|1893196800000|false|Australia -> Parkville
35184372178836|294142175296358899|0|1670397931027|1893196800000|false|Hungary -> Esztergom
35184372178836|294142175296358899|1|1671329727890|1893196800000|false|Pakistan -> Dera_Ismail_Khan
35184372178836|294142175296358899|2|1669077485689|1893196800000|false|Zambia -> Mufulira
35184372178836|294142175296358899|3|1669064996166|1893196800000|false|Germany -> Lörrach
35184372178836|294142175296358899|4|1672441760171|1893196800000|false|Brazil -> Ribeirão_Preto
35184372178836|294142175296358899|5|1672326996955|1893196800000|false|Japan -> Okazaki
35184372178836|294142175296358899|6|1671845555372|1893196800000|false|Sri_Lanka -> Malabe
35184372178836|294142175296358899|7|1671846858322|1893196800000|false|India -> Dharwad
35184372178836|294142175296358899|8|1670274165769|1893196800000|false|Mexico -> Tlatelolco
35184372178836|4905827369090028825|0|1671803599732|1893196800000|false|India -> Kerala
