companyId|accountId|createTime|deleteTime|isExplicitDeleted
2199023258052|156218886952321024|1625901110893|1893196800000|false
2199023258052|302022924888440833|1670669894234|1893196800000|false
8796093034708|276408702007771138|1662822133791|1893196800000|false
8796093034708|264023803032502275|1658985330527|1660224802104|true
8796093034708|189995884157599748|1636237228278|1893196800000|false
10995116300260|269090352613294085|1660587021734|1893196800000|false
7696581426932|227150581083406342|1647643050491|1893196800000|false
7696581396933|178455410112462855|1632666338692|1893196800000|false
5497558151381|238691055128543240|1651249823167|1893196800000|false
5497558151381|178173935135752201|1632594795401|1893196800000|false
5497558151381|173951810485092362|1631287586281|1893196800000|false
15393162811365|305682099585679371|1671767427999|1893196800000|false
8796093054709|304556199678836748|1671440874315|1893196800000|false
8796093054709|258675778474999821|1657388569073|1893196800000|false
8796093054709|246009404523020302|1653450135587|1893196800000|false
8796093054709|212795357271162895|1643218735500|1893196800000|false
12094627908038|291608350750146576|1667464489268|1669798957007|true
12094627908038|267682977729740817|1660124044246|1893196800000|false
12094627908038|290482450843303954|1667101439009|1893196800000|false
9895604662486|280630826658430995|1664131626487|1671327529762|true
9895604662486|254735128801050644|1656110158794|1893196800000|false
9895604662486|272749527310532629|1661711330105|1666210796147|true
9895604662486|261772003218817046|1658262543077|1893196800000|false
5497558161382|271060677450268695|1661182752498|1893196800000|false
5497558161382|128915814211387416|1617525549093|1893196800000|false
5497558161382|176485085275488281|1632063137074|1893196800000|false
2199023288054|216173056991690778|1644277063772|1893196800000|false
2199023288054|221521081549193243|1645977117415|1893196800000|false
2199023288054|50384295709114396|1593349691864|1893196800000|false
2199023288054|230809755780644893|1648820246996|1650406485173|true
13194139535815|305119149632258078|1671643488702|1893196800000|false
13194139535815|297800800237781023|1669367369915|1893196800000|false
13194139535815|272468052333821984|1661550245883|1893196800000|false
13194139535815|268808877636583457|1660496456054|1893196800000|false
5497558151383|242631704802492450|1652434100369|1668514069886|true
5497558161383|269090352613294115|1660540990154|1893196800000|false
5497558161383|305119149632258084|1671621094046|1893196800000|false
32503|41095621477662757|1590525509898|1893196800000|false
32503|135108263699021862|1619423872062|1893196800000|false
12094627908040|280349351681720359|1663990584557|1893196800000|false
12094627908040|274719852147507240|1662261836226|1893196800000|false
4398046523608|146930212720869417|1623039134047|1893196800000|false
6597069789160|162411336439955498|1627759544709|1638696813324|true
6597069789160|259801678381842475|1657719759363|1893196800000|false
7696581426936|166633461090615340|1629098158548|1893196800000|false
7696581426936|229965330850512941|1648491855271|1893196800000|false
7696581426936|296956375307649070|1669146731887|1893196800000|false
7696581426936|232498605640908847|1649314977933|1893196800000|false
12094627908041|280349351681720368|1663988669561|1671202741182|true
9895604662489|281193776611852337|1664236495207|1893196800000|false
9895604662489|247698254383284274|1654023452102|1893196800000|false
9895604662489|218706331782086707|1645109356881|1652072160868|true
9895604662489|298363750191202356|1669582533310|1893196800000|false
13194139555817|298082275214491701|1669480336064|1893196800000|false
13194139555817|270779202473558070|1661102881477|1893196800000|false
12094627938041|276690176984481847|1662909775234|1665695507848|true
12094627938041|255016603777761336|1656254913743|1661490036530|true
12094627938041|279504926751588409|1663773785356|1893196800000|false
1099511630282|283727051402248250|1665055529604|1893196800000|false
5497558151386|301459974935019579|1670463067336|1893196800000|false
5497558151386|217017481921822780|1644516218364|1646264407094|true
14293651183594|300897024981598269|1670296631187|1893196800000|false
14293651183594|303993249725415486|1671320298832|1893196800000|false
14293651183594|299489650098044991|1669910477791|1893196800000|false
