fromId|toId|fromType|toType|multiplicityId|createTime|deleteTime|amount|isExplicitDeleted
156218886952321024|93450242023751853|credit card|debit card|0|1668260384095|1893196800000|7301615,51|false
156218886952321024|4873176546669510484|credit card|debit card|0|1668816325645|1893196800000|7664359,93|false
156218886952321024|4890064770394238216|credit card|debit card|0|1669462583587|1671746576815|7700942,29|false
156218886952321024|303148549917397563|credit card|debit card|0|1671288684785|1671842504802|5909573,73|false
156218886952321024|4689655686487887457|credit card|debit card|0|1630410404112|1632117644915|9294408,88|false
156218886952321024|4886688994819049378|credit card|debit card|0|1662996368001|1666369686844|3893074,74|false
156218886952321024|4796615902760011553|credit card|debit card|0|1634877003455|1635650044382|5918298,00|false
156218886952321024|4712174509258459548|credit card|debit card|0|1650678898886|1893196800000|5800562,37|false
156218886952321024|4915960468251608252|credit card|debit card|0|1672423032487|1893196800000|4912940,71|false
156218886952321024|105272465923512203|credit card|debit card|0|1653543995118|1893196800000|9037458,60|false
156218886952321024|4904701744061096158|credit card|debit card|0|1669751620775|1893196800000|3749372,47|false
156218886952321024|4890347070004661965|credit card|debit card|0|1668646146070|1893196800000|964851,60|false
156218886952321024|294423375395164583|credit card|debit card|0|1670633610635|1893196800000|4737001,01|false
156218886952321024|4917369767280512957|credit card|debit card|0|1671826320990|1893196800000|3724475,77|false
156218886952321024|4861917822478983043|credit card|debit card|0|1655873676368|1893196800000|6697857,79|false
156218886952321024|4906673718165524875|credit card|debit card|0|1671481254350|1893196800000|2189281,10|false
156218886952321024|4743417956795420061|credit card|debit card|0|1649860775165|1893196800000|1031088,88|false
156218886952321024|4906953543874790565|credit card|debit card|0|1671092009408|1893196800000|4095509,88|false
156218886952321024|4901325418730096732|credit card|debit card|0|1669527751548|1893196800000|1174487,25|false
156218886952321024|4916243317617856650|credit card|debit card|0|1671905413510|1893196800000|473658,61|false
156218886952321024|279504926751591619|credit card|debit card|0|1665458253950|1668729644294|3287495,90|false
156218886952321024|4919338992605875103|credit card|debit card|0|1672523444077|1893196800000|3491872,42|false
156218886952321024|134826513844423726|credit card|debit card|0|1672167319374|1893196800000|752953,86|false
156218886952321024|290763650942117631|credit card|debit card|0|1671993419907|1893196800000|8429999,90|false
156218886952321024|4837711799115594592|credit card|debit card|0|1657549334669|1664660175066|1574836,71|false
156218886952321024|269090902369119997|credit card|debit card|0|1666914836101|1893196800000|5670815,58|false
156218886952321024|4660100539055359929|credit card|debit card|0|1638259718425|1893196800000|1219593,71|false
156218886952321024|4812097026479105893|credit card|debit card|0|1641690042943|1893196800000|7063132,32|false
156218886952321024|136797663315106271|credit card|debit card|0|1657342413781|1893196800000|1223835,83|false
269090352613294085|4756645631433391919|foreign currency|debit card|0|1664829029763|1893196800000|1797227,86|false
269090352613294085|4757773455485587982|foreign currency|debit card|0|1665850769696|1893196800000|7816796,34|false
269090352613294085|301741999667550786|foreign currency|debit card|0|1670657032337|1893196800000|8835069,78|false
269090352613294085|144397212808393810|foreign currency|debit card|0|1667480505510|1893196800000|3759115,88|false
269090352613294085|4855444447770446892|foreign currency|debit card|0|1669943917459|1893196800000|3036267,83|false
269090352613294085|4858258922659645585|foreign currency|debit card|0|1666585668988|1893196800000|8988309,98|false
269090352613294085|4789578753464350023|foreign currency|debit card|0|1663983983083|1893196800000|8276888,40|false
269090352613294085|4835740924522797301|foreign currency|debit card|0|1664160643468|1893196800000|1925196,00|false
269090352613294085|4888940519754834310|foreign currency|debit card|0|1666460351582|1893196800000|4214772,63|false
269090352613294085|154811237190881230|foreign currency|debit card|0|1661288082992|1893196800000|8405308,99|false
269090352613294085|4885561170766872005|foreign currency|debit card|0|1663381552789|1667064036434|835667,28|false
269090352613294085|4833207924610322393|foreign currency|debit card|0|1672327364772|1893196800000|1156859,34|false
269090352613294085|4887531770481739640|foreign currency|debit card|0|1666854983703|1667426621240|1724350,66|false
269090352613294085|4873176271791591582|foreign currency|debit card|0|1663968163030|1893196800000|1085298,97|false
269090352613294085|4856007397723882255|foreign currency|debit card|0|1666949176278|1893196800000|9130381,04|false
269090352613294085|4917931067966494458|foreign currency|debit card|0|1672060834923|1893196800000|5908499,72|false
269090352613294085|4828422575128327463|foreign currency|debit card|0|1665689520162|1893196800000|606651,51|false
269090352613294085|4911457968135870096|foreign currency|debit card|0|1670323918632|1672435682005|11634,02|false
269090352613294085|4706543085578880649|foreign currency|debit card|0|1670881572021|1893196800000|3339462,62|false
