companyId|loanId|loanAmount|createTime|org
9895604659984|253327479039590400|25643920,00|1655672912199|OneMain Financial
9895604659984|263179103224463361|91922990,00|1658769802120|Upgrade
9895604659984|204069358115225602|59918644,00|1640558603366|PNC Bank
7696581414432|237564880343793667|59918496,00|1650872777730|Marcus by Goldman Sachs
7696581414432|269090077735387140|96311923,00|1660528014962|RealtyMogul
7696581414432|305681824707772421|10516446,00|1671765062190|State Farm Bank
7696581404433|184084634768769030|88059011,00|1634469805590|LendingPoint
8796093042209|195343633837195271|665546,00|1637908004019|SoFi
8796093042209|284571201454473224|84591291,00|1665297773495|Fundbox
8796093042209|281756451687366665|36515054,00|1664455964257|BlueVine
8796093042209|275001052246310922|15680346,00|1662334916331|Peerform
15393162818866|306526249637904395|51371040,00|1672075638531|LendingPoint
8796093022211|271904827502493708|50563675,00|1661414761060|BlueVine
8796093022211|302304124987244557|80837517,00|1670720362928|Capital One
8796093022211|238972255227346958|61942901,00|1651321904803|Upstart
6597069796659|198158383604301839|16657575,00|1638758660045|State Farm Bank
6597069796659|166914661189419024|91178521,00|1629193961001|Roofstock
6597069796659|223209656531550225|51499090,00|1646418189549|TD Bank
6597069796659|249386829365641234|88681517,00|1654496302963|OnDeck
7696581394436|302304124987244563|57692806,00|1670760181319|Avant
9895604659988|297237575406452756|54694894,00|1669195087414|Earnest
9895604659988|272186302479204373|42447940,00|1661477941139|US Bank
9895604659988|283726776524341270|946731,00|1665086742056|Upgrade
9895604659988|241224055041032215|8031806,00|1651991121812|PNC Bank
8796093052212|183521684815347736|29605865,00|1634305896959|TD Bank
8796093052212|280067601827102745|79151577,00|1663914686518|OnDeck
5497558138885|201254608348119066|97960749,00|1639724668930|SunTrust
7696581424437|275001052246310939|48751444,00|1662395392522|Capital One
7696581424437|276126952153153564|1468307,00|1662690020608|LightStream
5497558138886|280067601827102749|733225,00|1663932925300|SoFi
10995116287766|247416504528666654|95240150,00|1653920414889|Prosper
15393162808870|305118874754351135|80018445,00|1671641259350|LendingClub
15393162808870|306526249637904416|17329085,00|1672087705898|OnDeck
15393162808870|306526249637904417|72385007,00|1672067710327|OnDeck
15393162808870|307370674568036386|64129087,00|1672318337523|Wells Fargo
14293651171095|289637751035265059|42334597,00|1666832254582|Upstart
14293651171095|283163826570919972|2890389,00|1664900405113|State Farm Bank
13194139553319|274156627316178981|17506844,00|1662152601481|TD Bank
13194139553319|287385951221579814|20616363,00|1666138924088|Discover
13194139553319|291608075872239655|49746907,00|1667513467927|Fundbox
13194139553319|294704300616056872|40928072,00|1668426304738|OneMain Financial
10995116307767|278097276990128169|2221031,00|1663294764844|RealtyMogul
10995116307767|257549603690250282|22670585,00|1657046673602|BlueVine
10995116307767|291326600895529003|16015933,00|1667409098247|OnDeck
10995116277768|253046004062879788|63627041,00|1655603474513|Peerform
10995116277768|304555924800929837|6338837,00|1671422155516|LendingClub
10995116277768|281193501733945390|41922274,00|1664294809225|Prosper
4398046531112|135952413751246895|28431163,00|1619692476221|Peerform
4398046531112|195343633837195312|56890992,00|1637913965060|Best Egg
4398046531112|156500087051124785|48574433,00|1625928738056|PNC Bank
2199023285560|209135907696017458|78755203,00|1642161227137|Rocket Loans
4398046511113|227431781182210099|73975802,00|1647761945019|LendingPoint
4398046511113|305400349731061812|43478197,00|1671743208922|Funding Circle
3298534893337|260927303410778165|61331288,00|1658052584346|Bank of America
3298534893337|164662861375733814|81743620,00|1628449763218|Fundbox
3298534893337|75153818781745207|3461848,00|1600981961396|Bank of America
3298534893337|80501843339247672|3914428,00|1602649803817|US Bank
5497558158889|235313080530108473|28451635,00|1650214416143|Wells Fargo
5497558158889|137641263611510842|82022774,00|1620143781809|TD Bank
10995116307769|305681824707772475|2456087,00|1671781132258|Upgrade
5497558138890|254734853923143740|95319891,00|1656143629706|Citibank
4398046521114|242068479971164221|93475682,00|1652219585830|Patch of Land
4398046521114|301178225080401982|24963308,00|1670449699017|PNC Bank
4398046521114|239535205180768319|81208041,00|1651480413634|LendingPoint
3298534913338|130322914217033792|34067541,00|1617876723036|Kabbage
3298534913338|94012642221359169|10211890,00|1606765013013|Earnest
1099511657787|100205091708993602|6006368,00|1608647002347|LendingPoint
14293651161100|305963299684483139|24319243,00|1671877860016|PNC Bank
14293651171100|296393150476320836|45882219,00|1668924824761|Chase Bank
14293651171100|291326600895529029|46000871,00|1667367153868|Patch of Land
14293651171100|307933624521457734|53508140,00|1672480398114|PNC Bank
14293651171100|303430024894087239|63168921,00|1671120005416|Rocket Loans
1099511627789|79094468455694408|39583576,00|1602212997276|PNC Bank
5497558148893|161848111608627273|71555310,00|1627589373545|Avant
5497558148893|208291482765885514|66440179,00|1641863991361|Rocket Loans
6597069776670|179862510118109259|64744516,00|1633150473635|Kabbage
6597069776670|233342755693133900|79791875,00|1649560205171|Citibank
6597069776670|177047760351002701|19164131,00|1632261353777|Fundrise
6597069776670|144959613005987918|97671963,00|1622381303517|SoFi
5497558158894|179581035141398607|63364835,00|1633087503431|Fundrise
7696581424446|228839156065763408|16504764,00|1648178087653|Citibank
7696581424446|279223176896970833|74108033,00|1663689094506|Best Egg
2199023265567|297519050383163474|29468293,00|1669323078652|Earnest
10995116297775|282600876617498707|90845187,00|1664664159663|Kabbage
10995116287776|242349954947874900|48744758,00|1652320881275|Funding Circle
8796093052224|220676381741154389|57773747,00|1645664501217|SunTrust
12094627905553|296393150476320854|78005196,00|1668914432281|Marcus by Goldman Sachs
13194139553329|295548725546188887|22107828,00|1668696819285|Roofstock
13194139553329|274156627316179032|60359871,00|1662085724289|Fundbox
4398046511122|101612466592546905|87794713,00|1609116662099|Capital One
4398046511122|155374187144282202|23347630,00|1625612492883|Patch of Land
8796093032226|187743809466007643|84396897,00|1635534421433|Patch of Land
8796093032226|254171903969722460|83425770,00|1655935736058|Patch of Land
12094627925554|240661105087610973|68241128,00|1651862263578|RealtyMogul
12094627925554|300333800150270046|62086298,00|1670135276208|State Farm Bank
12094627925554|250512729272483935|27136877,00|1654823605254|PNC Bank
12094627925554|298082000336584800|69445371,00|1669441005522|OneMain Financial
14293651191106|291326600895529057|40691756,00|1667361193571|RealtyMogul
9895604660004|270497452618940514|78286008,00|1660986456020|Upstart
9895604660004|248260929458798691|77429560,00|1654166192806|SunTrust
9895604660004|295267250569478244|4580121,00|1668592284248|Peerform
2199023285572|293296925732503653|30154367,00|1667991585038|American Express
2199023285572|118219490218475622|69203634,00|1614215280601|American Express
2199023285572|101049516639125607|77415092,00|1608917863833|LendingClub
2199023285572|205758207975489640|36633231,00|1641101184488|Avant
2199023275573|246572079598534761|97733319,00|1653668649938|LendingClub
7696581394454|300052325173559402|86065030,00|1670099501349|Fundbox
7696581404454|267401227875123307|62524747,00|1660074552544|Chase Bank
23|297800525359874156|561708,00|1669361700480|Rocket Loans
23|221239331694575725|9157100,00|1645875272477|Navy Federal Credit Union
23|246572079598534766|22521239,00|1653639570159|SunTrust
7696581404455|171136785840078959|15119848,00|1630502390342|American Express
