companyId|loanId|loanAmount|createTime|org
13194139538312|276408976885678080|53038469,00|1662770007919|LendingPoint
13194139538312|299489924975951873|25800914,00|1669872738587|Upstart
13194139538312|285416176140419074|75198645,00|1665608550823|RealtyMogul
9895604664984|231372980611973123|34285168,00|1648936945374|RealtyMogul
9895604664984|209136457451831300|98219437,00|1642128135546|Avant
14293651176089|297519600138977285|29860953,00|1669293500898|TD Bank
15002|262335228050145286|47641488,00|1658441567811|Prosper
15002|162411611317862407|81568569,00|1627791754207|Marcus by Goldman Sachs
7696581429434|265431452793962504|2077889,00|1659414597142|RealtyMogul
7696581429434|231654455588683785|76670420,00|1649046028520|Upgrade
7696581429434|280068151582916618|68492788,00|1663927471718|Discover
8796093027211|256987203492642827|99068241,00|1656814033099|Citibank
5497558143884|249105904144744460|39081780,00|1654435310540|SunTrust
5497558143884|142989837924827149|1810041,00|1621848735066|Upstart
5497558143884|115686765183893518|97221640,00|1613419954262|Upstart
14293651176092|301460249812926479|30872331,00|1670493706745|OnDeck
14293651176092|302304674743058448|53670537,00|1670729538211|SunTrust
10995116282765|293016000511606801|14591293,00|1667890339336|Prosper
2199023270557|229684130751709202|78495453,00|1648418136003|American Express
2199023270557|128353139135873043|19150044,00|1617313893733|Best Egg
2199023270557|96264991790858260|29412232,00|1607429276757|Fundbox
7696581419437|262898178003566613|46741393,00|1658686656294|Capital One
7696581419437|199284833266958358|19189882,00|1639113086357|US Bank
7696581419437|245446729447505943|46745742,00|1653321339162|RealtyMogul
7696581419437|215891856892887064|60639545,00|1644235025550|Avant
2199023260558|94857616907304985|54587249,00|1607049265834|SoFi
2199023260558|177329785083527194|73503328,00|1632324516884|LendingPoint
2199023260558|238972804983160859|20370608,00|1651267329460|OneMain Financial
5497558143887|288512400884236316|63655681,00|1666482045613|Avant
5497558143887|141863938017984541|47929413,00|1621472075819|Best Egg
6597069801663|182677809641029662|67975960,00|1634022664461|Earnest
6597069801663|157063586760359967|1127987,00|1626124383210|Best Egg
5497558143888|141019513087852576|87296754,00|1621196078913|Peerform
5497558143888|202381058010775585|22924157,00|1640088487350|Discover
5497558143888|287386500977393698|32466256,00|1666141065158|Marcus by Goldman Sachs
5497558143888|289356825814368291|83050021,00|1666788722094|Kabbage
8796093037216|231091505635262500|18750182,00|1648889114173|Patch of Land
8796093037216|280631101536337957|38018882,00|1664057341586|Funding Circle
8796093037216|305119424510165030|92969717,00|1671646544329|American Express
8796093037216|287667975954104359|40867171,00|1666256657499|SoFi
2199023290560|302867624696479784|61312096,00|1670917769524|Peerform
2199023290560|171981760526024745|26934955,00|1630701096037|Capital One
2199023290560|305682374463586346|39295746,00|1671775910162|Fundrise
2199023290560|207447607591567403|30568396,00|1641591951057|Kabbage
4398046516113|307089749347139628|2998461,00|1672198204839|American Express
4398046516113|294423375395160109|24850037,00|1668318294408|American Express
8796093037217|257550153446064174|6424547,00|1657049216061|OnDeck
8796093037217|211106782288805935|59596498,00|1642703198475|American Express
12094627940545|265712927770673200|79014918,00|1659484548011|Roofstock
12094627940545|277253401815810097|12441826,00|1663061873958|OnDeck
