loanId|accountId|createTime|deleteTime|amount|isExplicitDeleted
253327479039590400|263179103224463364|1659082148097|1893196800000|18726501,64|false
253327479039590400|263179103224463364|1671150608512|1893196800000|3868429,64|false
263179103224463361|241224055041032199|1660283269449|1893196800000|65854428,99|false
263179103224463361|288230376151711750|1671282793114|1893196800000|16841722,22|false
263179103224463361|263179103224463364|1663043028986|1893196800000|4276684,50|false
263179103224463361|263179103224463364|1665365216543|1893196800000|73735907,25|false
263179103224463361|288230376151711750|1669025522445|1893196800000|32812689,45|false
204069358115225602|231090955879448581|1650144467532|1651410411336|6025324,99|true
204069358115225602|288230376151711750|1667988409163|1893196800000|39115471,25|false
237564880343793667|185773484629032969|1666530126582|1893196800000|13828965,43|false
237564880343793667|227713256158920712|1659785807054|1893196800000|7693747,90|false
269090077735387140|185773484629032969|1668375555202|1893196800000|7729820,70|false
269090077735387140|227713256158920712|1669066645001|1893196800000|25317105,45|false
269090077735387140|227713256158920712|1661078114961|1893196800000|20230920,38|false
269090077735387140|227713256158920712|1664765182769|1893196800000|38537326,41|false
305681824707772421|227713256158920712|1671850575245|1893196800000|6890649,30|false
305681824707772421|185773484629032969|1672379283718|1893196800000|2675093,91|false
305681824707772421|185773484629032969|1671887887861|1893196800000|6784567,01|false
184084634768769030|211106232532992014|1653262613079|1671861734988|19826563,13|true
184084634768769030|211106232532992014|1649635944468|1671861734988|3517322,71|true
184084634768769030|163255486492180493|1641347167211|1893196800000|24218763,11|false
184084634768769030|163255486492180493|1642886264560|1893196800000|44776748,82|false
195343633837195271|302304124987244559|1671630198253|1672169560707|463080,91|true
195343633837195271|196751008720748560|1653971688232|1893196800000|26407,32|false
195343633837195271|302304124987244559|1671168753804|1672169560707|78937,71|true
195343633837195271|196751008720748560|1669939491580|1893196800000|508720,68|false
195343633837195271|302304124987244559|1672169433923|1672169560707|28657,09|true
195343633837195271|302304124987244559|1671269492002|1672169560707|4812,16|true
284571201454473224|302304124987244559|1671472886848|1672169560707|10177217,07|true
284571201454473224|196751008720748560|1671747662001|1893196800000|40028085,08|false
284571201454473224|196751008720748560|1670995571181|1893196800000|28789182,37|false
281756451687366665|302304124987244559|1671954189045|1672169560707|33081762,49|true
281756451687366665|196751008720748560|1667637234268|1893196800000|2131652,22|false
275001052246310922|196751008720748560|1662812090549|1893196800000|13658817,73|false
275001052246310922|302304124987244559|1671645845395|1672169560707|142957,78|true
275001052246310922|302304124987244559|1671514591578|1672169560707|6806929,21|true
275001052246310922|196751008720748560|1671757142041|1893196800000|2841414,87|false
306526249637904395|306807724614615064|1672416778299|1893196800000|13042414,43|false
306526249637904395|307652149544747033|1672528589962|1893196800000|6117759,30|false
271904827502493708|205758207975489562|1671019875342|1893196800000|15595094,64|false
302304124987244557|205758207975489562|1671369073201|1893196800000|32539537,75|false
302304124987244557|205758207975489562|1671288311487|1893196800000|44192357,05|false
302304124987244557|205758207975489562|1672033795071|1893196800000|17942710,39|false
238972255227346958|205758207975489562|1660969348839|1893196800000|9919005,48|false
238972255227346958|205758207975489562|1665183064606|1893196800000|36023783,84|false
238972255227346958|205758207975489562|1670623763845|1893196800000|7434984,05|false
238972255227346958|205758207975489562|1668759052884|1893196800000|24773863,10|false
238972255227346958|205758207975489562|1658334777415|1893196800000|24507663,16|false
238972255227346958|205758207975489562|1662102134417|1893196800000|1246240,21|false
198158383604301839|188869709372850210|1640195785534|1893196800000|7633177,36|false
198158383604301839|184647584722190368|1657602592809|1893196800000|5500741,53|false
198158383604301839|195062158860484641|1648466034172|1893196800000|1972418,44|false
198158383604301839|184647584722190368|1645500385569|1893196800000|71541,14|false
166914661189419024|188869709372850210|1640617966904|1893196800000|81992539,56|false
166914661189419024|289919226011975711|1668809932633|1893196800000|6670010,05|false
166914661189419024|289919226011975711|1669904528758|1893196800000|34252555,46|false
223209656531550225|188869709372850210|1655037663055|1893196800000|36104073,36|false
223209656531550225|289919226011975711|1669614956226|1893196800000|6359343,80|false
223209656531550225|195062158860484641|1653556699843|1893196800000|10693054,96|false
249386829365641234|289919226011975711|1668552691862|1893196800000|82524527,88|false
249386829365641234|195062158860484641|1663383612715|1893196800000|560414,63|false
249386829365641234|289919226011975711|1670370119643|1893196800000|3385710,13|false
249386829365641234|184647584722190368|1657436941061|1893196800000|509879,56|false
249386829365641234|195062158860484641|1662868884913|1893196800000|695212,81|false
249386829365641234|289919226011975711|1671347183999|1893196800000|877692,89|false
249386829365641234|195062158860484641|1664949816256|1893196800000|50848,58|false
