accountId|loanId|createTime|deleteTime|amount|isExplicitDeleted
4913429117606559746|4912303217699717120|1672241146854|1893196800000|27455048,57|false
4913429117606559746|4904984868305240065|1671437051719|1893196800000|49951057,80|false
4913429117606559746|4904984868305240065|1672229743081|1893196800000|13196468,83|false
4753832805811617796|4821668275198885890|1647282344938|1893196800000|11689687,16|false
4860511821984956421|4770439829437546499|1657165221672|1893196800000|4105393,57|false
4680086361913425923|4746795931393851396|1633184970530|1663626255119|52394056,14|true
4753832805811617796|4746795931393851396|1671058662548|1893196800000|3298718,55|false
4680086361913425923|4746795931393851396|1624247137323|1663626255119|40654825,04|true
4905829293235372038|4693878635772248069|1669653541713|1893196800000|24576381,08|false
4905829293235372038|4693878635772248069|1670294498375|1893196800000|10501221,72|false
4905829293235372038|4693878635772248069|1671000578696|1893196800000|5183362,77|false
4905829293235372038|4693878635772248069|1671053128411|1893196800000|15902570,95|false
4873459670913646604|4870363446169829383|1667547010587|1893196800000|4269304,68|false
4873459670913646604|4870363446169829383|1667375559023|1893196800000|3346059,47|false
4885281619935494155|4870363446169829383|1662087711484|1670563766578|5295687,87|true
4885281619935494155|4870363446169829383|1666738244876|1670563766578|1441343,22|true
4885281619935494155|4889503744586153992|1669293774891|1670563766578|28694576,74|true
4885281619935494155|4889503744586153992|1667792972388|1670563766578|28499898,55|true
4693878635772248081|4814068450827698185|1650790209521|1893196800000|21279579,35|false
4894007344213524496|4814068450827698185|1669066017401|1893196800000|12238166,14|false
4894007344213524496|4814068450827698185|1671242893292|1893196800000|5275233,36|false
4894007344213524496|4814068450827698185|1666145769511|1893196800000|41725601,29|false
4894007344213524496|4814068450827698185|1670031390109|1893196800000|540595,16|false
4894007344213524496|4862482146821931018|1665202096063|1893196800000|2939482,31|false
4693878635772248081|4862482146821931018|1660534948185|1893196800000|6063128,97|false
4901325693608001555|4885563094912204811|1670687400608|1893196800000|14865959,96|false
4898510943840894994|4885563094912204811|1667182240781|1893196800000|24563184,03|false
4898510943840894994|4885563094912204811|1670271137949|1893196800000|20129378,75|false
4898510943840894994|4850660197800083468|1669631282090|1893196800000|3502296,46|false
4901325693608001555|4850660197800083468|1672147350782|1893196800000|4874185,03|false
4884718669982072861|4866141321519169549|1662536418659|1893196800000|4403179,80|false
4844749223289159708|4866141321519169549|1657974471004|1893196800000|1386466,96|false
4844749223289159708|4866141321519169549|1666848549322|1893196800000|1792213,84|false
4844749223289159708|4888659319656022030|1669754980128|1893196800000|26827363,57|false
4884718669982072861|4888659319656022030|1663297230375|1893196800000|17855320,38|false
4884718669982072861|4888659319656022030|1672292229503|1893196800000|16461192,47|false
4844749223289159708|4888659319656022030|1668195154406|1893196800000|14988147,21|false
4884718669982072861|4842778898452185103|1664333671962|1893196800000|25046818,54|false
4884718669982072861|4842778898452185103|1665258028594|1893196800000|1542543,22|false
4884718669982072861|4842778898452185103|1665755166265|1893196800000|13811322,85|false
4884718669982072861|4842778898452185103|1666920876264|1893196800000|4454593,40|false
4844749223289159708|4842778898452185103|1658183055961|1893196800000|1080810,04|false
4844749223289159708|4857978547194560528|1671034678073|1893196800000|1968177,00|false
4884718669982072861|4857978547194560528|1672246162708|1893196800000|391774,47|false
4917932717233930271|4916243867373666321|1672030064210|1672440624758|1086563,34|true
4880215070354702373|4843060373428895764|1663884005575|1893196800000|5770198,09|false
4896822093980631075|4843060373428895764|1671757462662|1893196800000|482330,52|false
4912303217699717156|4885000144958783510|1670772804153|1893196800000|2474248,23|false
4912303217699717156|4885000144958783510|1671076121730|1893196800000|13084626,12|false
4912303217699717156|4885000144958783510|1671955386367|1893196800000|32147295,16|false
4896822093980631075|4885000144958783510|1668932587679|1893196800000|162447,16|false
4866704271472590886|4885000144958783510|1667776144074|1893196800000|1061067,53|false
4880215070354702373|4885000144958783510|1664674038331|1893196800000|845733,37|false
4866704271472590886|4885000144958783510|1670605396552|1893196800000|1022493,32|false
4912303217699717156|4882185395191676951|1671681345311|1893196800000|14985622,78|false
4739759056976085039|4649968539405385752|1662611005018|1893196800000|50896721,65|false
4739759056976085039|4649968539405385752|1620127017713|1893196800000|18336508,22|false
4733848082465161266|4853474947567190041|1657994269278|1893196800000|2214589,24|false
4733848082465161266|4853474947567190041|1668390766679|1893196800000|1363083,23|false
4733848082465161266|4853474947567190041|1667085552999|1893196800000|1588920,09|false
4733848082465161266|4854882322450743322|1662132469007|1893196800000|9641791,71|false
4733848082465161266|4854882322450743322|1657699269194|1893196800000|31152806,68|false
4733848082465161266|4684871436517507099|1670088031572|1893196800000|54220657,78|false
4733848082465161266|4684871436517507099|1632322234223|1893196800000|24435386,98|false
4900199793701158964|4854037897520611356|1671211110315|1893196800000|38257910,04|false
4900199793701158964|4854037897520611356|1669399376243|1893196800000|14818194,43|false
4856008222357585973|4854037897520611356|1670189000866|1893196800000|41925682,14|false
4891192594446417976|4878244745517727773|1663875482871|1663885353729|5045493,44|true
4876555895657463862|4878244745517727773|1669050712161|1893196800000|1138782,81|false
4891192594446417976|4878244745517727773|1663860986777|1663885353729|7573238,91|true
4830675474453626938|4850378722823372830|1669439094746|1893196800000|1068400,37|false
4830675474453626938|4850378722823372830|1657214105819|1893196800000|8587785,43|false
4830675474453626938|4883874245051940895|1666434820742|1893196800000|11132922,48|false
4816038775664672835|4794365202457952288|1644554906433|1893196800000|6714492,54|false
4816038775664672835|4794365202457952288|1656180657275|1893196800000|22999442,35|false
4816038775664672835|4903858968398397473|1670769731183|1893196800000|5725486,65|false
4816038775664672835|4903858968398397473|1667811139262|1893196800000|12015248,80|false
4816038775664672835|4903858968398397473|1668164436108|1893196800000|3230966,62|false
4816038775664672835|4903858968398397473|1671016788422|1893196800000|1614437,29|false
4816038775664672835|4903858968398397473|1668485121915|1893196800000|558246,48|false
4816038775664672835|4873178195936935971|1669701322441|1893196800000|1320403,82|false
4816038775664672835|4873178195936935971|1664968019857|1893196800000|51612,65|false
4816038775664672835|4873178195936935971|1669723188779|1893196800000|582211,63|false
4816038775664672835|4873178195936935971|1659538684485|1893196800000|76894,29|false
4816038775664672835|4873178195936935971|1662351358291|1893196800000|52801,55|false
4901888643561422916|4902733068491554852|1667519347177|1893196800000|6292601,02|false
4901888643561422916|4902733068491554852|1668963238111|1893196800000|7485541,98|false
4901888643561422916|4902733068491554852|1668677029529|1893196800000|3509692,84|false
4877681795564306506|4834053174174154790|1667749946018|1893196800000|94334,13|false
4877681795564306506|4834053174174154790|1663297611509|1893196800000|17642896,69|false
4771002779390967883|4778602603762155559|1643051285373|1893196800000|23319856,76|false
4771002779390967883|4778602603762155559|1643201940119|1893196800000|1776431,62|false
4771002779390967883|4778602603762155559|1632579053490|1893196800000|9601699,94|false
4771002779390967883|4778602603762155559|1652972767951|1893196800000|5943836,24|false
4771002779390967883|4778602603762155559|1632200550040|1893196800000|61415,04|false
4771002779390967883|4750173631114379304|1663963538804|1893196800000|69706896,94|false
4771002779390967883|4750173631114379304|1651752954375|1893196800000|37219968,10|false
4771002779390967883|4750173631114379304|1642729420402|1893196800000|7500744,53|false
4859667397054824530|4781417353529262121|1659540751110|1893196800000|1876125,49|false
4834053174174154845|4836304973987840042|1649776703513|1893196800000|39294380,58|false
4917651242257219684|4919621567094194219|1672513289728|1893196800000|7569031,32|false
4918214192210640995|4919621567094194219|1672517558123|1893196800000|3251413,32|false
4917651242257219684|4919621567094194219|1672487651814|1893196800000|6769173,72|false
4918214192210640995|4919621567094194220|1672517008272|1893196800000|6236075,04|false
4918214192210640995|4919621567094194220|1672454069892|1893196800000|24556718,78|false
4918214192210640995|4919621567094194220|1672467383099|1893196800000|1623207,55|false
4918214192210640995|4919340092117483565|1672493301769|1893196800000|9309962,48|false
4917651242257219684|4919340092117483565|1672477501415|1893196800000|5399922,13|false
4917651242257219684|4919340092117483565|1672459550925|1893196800000|984737,91|false
4919058617140772966|4820823850268753966|1672395238650|1893196800000|7396529,67|false
4919058617140772966|4820823850268753966|1672483195318|1893196800000|2715401,70|false
4806750101433221221|4820823850268753966|1668124757745|1893196800000|2354919,01|false
4919058617140772966|4820823850268753966|1672400258191|1893196800000|5286132,24|false
4806750101433221221|4875148520773910575|1660869735929|1893196800000|45506484,84|false
4806750101433221221|4875148520773910575|1671776306088|1893196800000|3355782,91|false
4806750101433221221|4875148520773910575|1659321116462|1893196800000|3737437,54|false
4919058617140772966|4846156598172713008|1672524681588|1893196800000|29500982,13|false
4806750101433221221|4846156598172713008|1670504092877|1893196800000|2321641,93|false
4806750101433221221|4846156598172713008|1659293131181|1893196800000|3942813,77|false
4806750101433221221|4846156598172713008|1663170656057|1893196800000|53791713,65|false
4806750101433221221|4895414719097077809|1666565105406|1893196800000|10681586,87|false
4806750101433221221|4895414719097077809|1671761871376|1893196800000|13401573,16|false
4918495667187351658|4899073893794316338|1672282381892|1893196800000|20646019,71|false
4898229468864184432|4836304973987840051|1668184844466|1893196800000|21534088,91|false
4897103568957341814|4743699706650034228|1671505894106|1893196800000|4523845,95|false
4897103568957341814|4743699706650034228|1669068422843|1893196800000|550601,70|false
4897103568957341814|4743699706650034228|1669021258313|1893196800000|5604572,79|false
4897103568957341814|4723714983303577653|1666518075171|1893196800000|4782352,20|false
4897103568957341814|4723714983303577653|1666965852855|1893196800000|140191,45|false
4897103568957341814|4723714983303577653|1668929284316|1893196800000|1091480,58|false
