personId|loanId|loanAmount|createTime|org
26388279080374|4879651020889653248|87546474,00|1660222698692|Bank of America
17592186068166|4867829071867805697|95229942,00|1656561132059|SoFi
17592186068166|4791267878202507266|46335990,00|1633069687711|State Farm Bank
17592186068166|4860792197450039299|83941103,00|1654428108645|Upgrade
30786325591479|4919620467582566404|5481728,00|1672460980702|TD Bank
30786325591479|4917931617722302469|91694574,00|1671970935165|Fundbox
30786325591479|4917931617722302470|10220153,00|1672007300824|Fundrise
8796093045959|4836022399499501575|65706506,00|1646764221580|LightStream
8796093045959|4788734603412111368|99172595,00|1632311940189|Capital One
8796093045959|4847844348521349129|48056153,00|1650430078326|Bank of America
15393162822615|4763401855508152330|8621688,00|1624476379419|Bank of America
15393162832615|4850940573265166347|1857258,00|1651389377242|Avant
30786325641479|4918494567675723788|63607192,00|1672112025615|SoFi
30786325641479|4917931617722302477|80920848,00|1671952027618|TD Bank
30786325641479|4916524242838749198|20803925,00|1671519945966|Prosper
26388279140375|4896258044515581967|13697542,00|1665283977448|RealtyMogul
26388279140375|4917931617722302480|67303570,00|1671927358891|OnDeck
26388279140375|4890910019958079505|12619787,00|1663646339983|Marcus by Goldman Sachs
26388279140375|4904702293816901650|85191235,00|1667931139032|Peerform
30786325591480|4913990968048353299|28477353,00|1670724802593|Fundbox
30786325591480|4914835392978485268|10796582,00|1671045375021|PNC Bank
21990232599272|4911176218281246741|23232221,00|1669906148713|American Express
21990232599272|4891754444888211478|99030107,00|1663946304792|Navy Federal Credit Union
21990232599272|4915116867955195927|7699034,00|1671071836056|Capital One
21990232599272|4865858747030831128|85663546,00|1655927652463|Kabbage
13194139607064|4801119502387380249|66363246,00|1636069563468|Upstart
13194139607064|4789860503318954010|78274751,00|1632662223492|Wells Fargo
8796093035961|4896258044515581979|76650452,00|1665295683853|Rocket Loans
10995116301513|4863888422193856540|9643163,00|1655350901310|Fundbox
17592186088169|4917931617722302493|84871635,00|1671969642896|Navy Federal Credit Union
8796093075961|4897383944422424606|41398538,00|1665657124213|State Farm Bank
8796093075961|4900480169166241823|12863057,00|1666591657456|Chase Bank
19791209363721|4906391143677165600|48233198,00|1668417311514|LendingPoint
24189255814826|4866703171960963105|70341707,00|1656258484456|SoFi
24189255814826|4891754444888211490|64665654,00|1663887789973|Roofstock
24189255814826|4895413619585450019|98792856,00|1665069686470|Prosper
24189255814826|4906672618653876260|74220094,00|1668493366287|Discover
24189255824826|4889784120051236901|39249272,00|1663333924480|State Farm Bank
24189255854826|4883591670563602470|88096824,00|1661437186317|US Bank
24189255854826|4915961292885327911|25540319,00|1671324123716|Prosper
4398046574858|4739757957464457256|58136436,00|1617248236079|Upgrade
73754|4693877536260620329|29246248,00|1603169849843|Funding Circle
73754|4803089827224354858|34228934,00|1636689584895|Patch of Land
21990232559275|4870080871681490987|77338927,00|1657308592723|Rocket Loans
21990232559275|4861918097356881964|11150773,00|1654729888829|Roofstock
17592186058171|4857414497729511469|57213504,00|1653352440720|Kabbage
19791209323723|4840244524150161454|37484712,00|1648063573906|Kabbage
26388279100379|4914835392978485295|41178099,00|1671003587123|Upstart
26388279100379|4897102469445713968|81191397,00|1665562499471|Rocket Loans
26388279100379|4883310195586891825|95762628,00|1661297677944|Marcus by Goldman Sachs
30786325651483|4919620467582566450|35688076,00|1672488692295|Funding Circle
30786325651483|4917931617722302515|40693052,00|1671926648834|Kabbage
30786325651483|4919620467582566452|55283737,00|1672526280369|Roofstock
30786325651483|4917650142745591861|71081781,00|1671901518029|Prosper
3756|4692470161377067062|59160547,00|1602727426794|Upstart
21990232569276|4876273321169125431|71732757,00|1659144018531|Fundbox
21990232569276|4915116867955195960|48364906,00|1671064081121|TD Bank
17592186078172|4807311951875014713|17599079,00|1637984638590|SoFi
21990232619276|4851784998195298362|59444586,00|1651607054100|Fundbox
21990232619276|4916524242838749243|54745053,00|1671563440825|US Bank
21990232619276|4845029598754242620|87101686,00|1649613655282|OneMain Financial
21990232619276|4875147421262282813|69521982,00|1658834826696|Upgrade
15393162862620|4779727404157370430|75846963,00|1629490732202|Capital One
15393162862620|4813504401362649151|58254022,00|1639913060282|Kabbage
15393162862620|4865295797077409856|17611344,00|1655786088550|Navy Federal Credit Union
24189255814829|4911739168234668097|90528837,00|1670107538050|RealtyMogul
24189255814829|4903857868886769730|45993137,00|1667635138256|SoFi
19791209373725|4849814673358323779|65131865,00|1651034624131|OneMain Financial
19791209373725|4832926174755684420|43171495,00|1645841430137|Funding Circle
19791209373725|4918776042652434501|91915930,00|1672267828327|Rocket Loans
10995116301518|4836585349452922950|3992051,00|1646945422704|Kabbage
4398046544862|4690781311516803143|77299397,00|1602189578519|RealtyMogul
43758|4674174287890874440|46518409,00|1597042228619|Avant
28587302375934|4910331793351114825|19793607,00|1669623398301|Bank of America
28587302375934|4918776042652434506|73359714,00|1672254833692|Bank of America
2199023319310|4662915288822448203|36053982,00|1593650592598|Marcus by Goldman Sachs
8796093025967|4889784120051236940|7009332,00|1663283821341|Upgrade
8796093025967|4763683330484863053|12695712,00|1624555952159|OnDeck
8796093025967|4806186051968172110|66314325,00|1637652268605|Upgrade
8796093025967|4872895621448597583|12043048,00|1658091600339|Marcus by Goldman Sachs
8796093045967|4828141100151603280|56909788,00|1644353375657|Fundbox
8796093045967|4909768843397693521|63193538,00|1669444693034|Avant
8796093045967|4830674374941999186|32549506,00|1645145514381|OnDeck
8796093045967|4850096148335034451|82247801,00|1651159070713|Patch of Land
24189255864831|4862199572333592660|9215262,00|1654814165072|Citibank
