personId|loanId|loanAmount|createTime|org
21990232556770|4871206221832519680|51834573,00|1657650970907|State Farm Bank
21990232556770|4901042569363849217|11747367,00|1666773050648|OneMain Financial
26388279087874|4914271893269250050|75856474,00|1670862534352|Roofstock
26388279097874|4919056967873331203|58320674,00|1672279421433|LendingClub
51250|4704573035619811332|51511430,00|1606394619995|Avant
51250|4699225011062308869|9283871,00|1604735954644|Fundrise
51250|4844184624068296710|78394527,00|1649284487244|Fundrise
51250|4816881551327363079|23215107,00|1640918589141|Fundbox
2199023276803|4788171103702876168|76988130,00|1632059448691|BlueVine
10995116319011|4913990418292539401|79770756,00|1670741524524|Patch of Land
10995116319011|4793237653283667978|45603702,00|1633625097409|LendingClub
10995116319011|4852065923416195083|14650056,00|1651767566996|Marcus by Goldman Sachs
10995116319011|4776912104634449932|62300224,00|1628630185938|Earnest
8796093083459|4759742131055099917|50076676,00|1623350946860|American Express
8796093023460|4779445379424845838|77164853,00|1629381981939|Best Egg
8796093023460|4837147749650530319|42546284,00|1647120847479|OnDeck
8796093023460|4750453456823648272|84634279,00|1620479489810|TD Bank
28587302343428|4910049768618590225|3963411,00|1669560488730|Roofstock
28587302343428|4904983219037798418|29556432,00|1667999814812|Peerform
2199023286804|4862199022577778707|38571587,00|1654862489014|Peerform
2199023286804|4873176546669494292|70120119,00|1658234576638|Fundrise
2199023286804|4772127030030368789|49059546,00|1627174922829|Peerform
2199023286804|4851221498486063126|73225463,00|1651441399344|US Bank
15393162830116|4797459777934327831|36973604,00|1634971088867|LendingClub
15393162830116|4825607275605393432|63982716,00|1643602872088|Navy Federal Credit Union
51252|4876272771413311513|7102735,00|1659146062382|Wells Fargo
51252|4777475054587871258|61637501,00|1628809851301|Funding Circle
51252|4642367065766756379|23467973,00|1587278183371|LightStream
51252|4916523693082935324|58431596,00|1671571234532|LendingPoint
13194139604564|4889783570295423005|87263596,00|1663350285452|Rocket Loans
13194139604564|4891190945178976286|98506771,00|1663751087173|Upstart
13194139604564|4848969698672377887|49361089,00|1650788842340|TD Bank
13194139604564|4830955300162895904|90930784,00|1645228680168|RealtyMogul
4398046522357|4685995687156908065|12986143,00|1600683414906|LendingClub
28587302343429|4917086643036356642|75436643,00|1671728976962|Capital One
15393162820117|4888376195411869731|88611977,00|1662877090778|Bank of America
15393162820117|4861073122670936100|50729327,00|1654533023967|Rocket Loans
15393162820117|4784230454028927013|71705966,00|1630864338293|Funding Circle
15393162820117|4810126151886307366|40127705,00|1638844706095|BlueVine
28587302373429|4911175668525432871|56993828,00|1669871074557|Upgrade
15393162850117|4894850119876214824|1281524,00|1664899110227|LendingClub
26388279137877|4906390593921351721|20622155,00|1668455474492|Fundrise
26388279137877|4894005694946082858|89304820,00|1664628651906|Navy Federal Credit Union
26388279137877|4909768293641879595|72095730,00|1669465383171|BlueVine
13194139554566|4835740374766977068|18052572,00|1646689537160|Roofstock
13194139554566|4839681024440926253|8934618,00|1647956824370|Funding Circle
13194139554566|4917931067966488622|55928055,00|1671979912676|OnDeck
28587302353430|4908079443781615663|96410607,00|1668906801269|State Farm Bank
