personId|loanId|loanAmount|createTime|org
21990232563020|4840526823760592896|34124999,00|1648228595578|Earnest
21990232563020|4917369492402601985|52659654,00|1671776636007|Earnest
21990232563020|4910614092961546242|62382705,00|1669730602641|LendingPoint
6597069784156|4774661679210299395|18002428,00|1627970241368|Avant
19791209327468|4898510668962988036|51476024,00|1666018375627|LightStream
19791209327468|4842778623574278149|60197777,00|1648873159070|Prosper
21990232603020|4886407244964429830|99777872,00|1662286682057|Prosper
21990232603020|4912302942821810183|22515405,00|1670281196187|SoFi
21990232603020|4857415322363232264|88263539,00|1653359591395|Upgrade
28587302379676|4917932442356023305|10357533,00|1671971965243|Prosper
28587302379676|4894288544312328202|38192320,00|1664695340501|Discover
28587302379676|4899073618916409355|69666713,00|1666136298313|US Bank
28587302379676|4914836217612206092|15689370,00|1671041729461|Best Egg
4398046578604|4828141924785324045|31201602,00|1644418189666|LendingPoint
2199023263053|4763965630095294478|69707752,00|1624705436009|Rocket Loans
2199023263053|4872333496128897039|54470016,00|1657987968815|LightStream
2199023263053|4840526823760592912|88682437,00|1648201234582|LendingClub
2199023263053|4663197588432879633|27577989,00|1593701794957|Upstart
19791209317469|4838837973900328978|39500118,00|1647708199648|Rocket Loans
6597069794157|4792676077719781395|81600743,00|1633458235119|American Express
15393162826365|4790987227859517460|33433955,00|1632942292010|Peerform
15393162826365|4881903645337059349|67489395,00|1660941011108|LendingClub
15393162826365|4817445875670319126|78068981,00|1641073253415|Upgrade
15393162826365|4795490827486887959|42309207,00|1634386282445|Bank of America
21990232603021|4910332617984835608|94768780,00|1669618678844|Kabbage
6597069834157|4918495392309444633|65080668,00|1672169980998|PNC Bank
2199023283054|4826734549901770778|31737838,00|1643921724135|US Bank
2199023283054|4666856763130118171|73181313,00|1594812911111|Best Egg
2199023283054|4826453074925060124|98693297,00|1643886349544|LendingPoint
4398046548606|4677271337268412445|74289134,00|1598035857878|SunTrust
4398046548606|4847563698178359326|74425035,00|1650366380434|Funding Circle
4398046548606|4810409001252552735|11165362,00|1638969927040|Bank of America
4398046548606|4756084330747396128|55205925,00|1622201536729|LendingClub
24189255868574|4911739992868388897|15745709,00|1670101370089|Citibank
24189255868574|4907236393241018402|10407287,00|1668676261620|State Farm Bank
24189255868574|4893444119382196259|11183087,00|1664412013970|Earnest
24189255868574|4918495392309444644|2254485,00|1672133290424|Best Egg
19791209377470|4915117692588916773|87958332,00|1671100741857|Kabbage
21990232563023|4903295743567069222|20749345,00|1667491972682|Fundbox
2199023293055|4831801099482562599|25594830,00|1645472169100|US Bank
2199023293055|4705700309916188712|85055826,00|1606732983650|Upstart
2199023293055|4860511547107049513|14782411,00|1654290263250|Kabbage
2199023293055|4656442188991823914|50467919,00|1591595773419|LightStream
47503|4831519624505851947|15925216,00|1645445752666|Fundbox
28587302379679|4908643768124571692|40068224,00|1669135012992|RealtyMogul
28587302379679|4918495392309444653|38831246,00|1672108444117|Avant
10995116345263|4813223751019659310|76455934,00|1639811242200|Citibank
13194139550816|4810409001252552751|47993230,00|1638891097582|Navy Federal Credit Union
17592186071920|4891192319568511024|37764487,00|1663736987577|State Farm Bank
17592186071920|4835460274179801137|50961909,00|1646633256405|OnDeck
13194139540817|4857133847386521650|68134472,00|1653315475966|LightStream
13194139540817|4907799343194439731|23548223,00|1668883202225|Best Egg
15393162816369|4815757025810055220|57170214,00|1640572814382|LendingClub
28587302369681|4917088017425891381|30095421,00|1671716646180|Citibank
28587302369681|4917650967379312694|55951087,00|1671869517068|Avant
28587302369681|4917088017425891383|76826084,00|1671700381955|PNC Bank
26388279124129|4893444119382196280|30307991,00|1664433896370|Rocket Loans
30786325655233|4919339817239576633|41547970,00|1672425251535|Avant
17592186051922|4893162644405485626|33982421,00|1664322417301|SoFi
19791209327475|4819979150460715067|95864913,00|1641910539051|State Farm Bank
19791209327475|4893444119382196284|4558141,00|1664415666468|BlueVine
19791209327475|4908643768124571709|2963871,00|1669101711208|PNC Bank
26388279104131|4906673443287597118|32736974,00|1668509918534|Earnest
26388279104131|4902732793613647935|27601768,00|1667263953216|Earnest
47507|4899355093893120064|93070907,00|1666269171823|TD Bank
47507|4835178799203090497|2944020,00|1646528780243|Citibank
47507|4640116640342605890|60384301,00|1586657154330|RealtyMogul
10995116345267|4751017781166604355|17745699,00|1620716315283|US Bank
15393162866371|4895695919195881540|98738878,00|1665133102884|LendingPoint
30786325595236|4917932442356023365|4559283,00|1671970495706|Peerform
30786325595236|4919058342262865990|94179404,00|1672334855333|Earnest
10995116315268|4847563698178359367|1170525,00|1650390381983|Citibank
10995116315268|4743699431772127304|60339914,00|1618432567123|LightStream
10995116315268|4873177921059029065|89087079,00|1658186574879|RealtyMogul
13194139590820|4783950353441751114|67638535,00|1630822253633|SoFi
17592186111924|4888940519754825803|33334445,00|1663076687625|Fundrise
13194139610820|4857978272316653644|78597827,00|1653533814797|Citibank
13194139610820|4771283979489771597|39870465,00|1626916043117|Roofstock
13194139610820|4796053777440309326|52085303,00|1634552388792|Bank of America
13194139610820|4826171599948349519|31599440,00|1643780978631|Navy Federal Credit Union
30786325605237|4917932442356023376|53755602,00|1672000129343|Upgrade
30786325605237|4913428842728652881|64153424,00|1670581678239|Wells Fargo
13194139570821|4761995305258319954|14225228,00|1624092752525|SunTrust
13194139570821|4848689598085202003|44562515,00|1650706445663|Wells Fargo
21990232603029|4857415322363232340|69428055,00|1653398073333|Avant
21990232603029|4852630247759151189|75769100,00|1651878180654|US Bank
21990232603029|4861637447013892182|84215268,00|1654650148597|US Bank
21990232603029|4845030423387963479|67844042,00|1649539720837|Fundbox
6597069844165|4797461152323862616|946157,00|1634989046696|LendingClub
6597069844165|4695567210754605145|36263728,00|1603672771397|Fundbox
6597069844165|4808157201438867546|97180968,00|1638268436222|Discover
