personId|loanId|loanAmount|createTime|org
4398046511104|4820540451146694656|25643920,00|1642012122768|American Express
6597069776656|4741164507714289665|91922990,00|1617697705930|LendingClub
6597069776656|4689091637022818306|59918644,00|1601664272974|Marcus by Goldman Sachs
28587302362176|4907516218950287363|59918496,00|1668746132206|SunTrust
28587302362176|4906108844066734084|96311923,00|1668327105514|TD Bank
15393162838864|4849250898771181573|10516446,00|1650866355371|Discover
15393162838864|4808718502124847110|88059011,00|1638431316915|Chase Bank
15393162838864|4825044050774065159|665546,00|1643420705695|SunTrust
15393162838864|4829266175424725000|84591291,00|1644745361504|LendingClub
60000|4895412794951729161|36515054,00|1665018443245|Capital One
60000|4816599801472745482|15680346,00|1640823936765|OneMain Financial
60000|4837991899702755339|51371040,00|1647385554850|BlueVine
60000|4649403665306615820|50563675,00|1589438543149|State Farm Bank
19791209369968|4859665472909475853|80837517,00|1654088851577|LendingClub
19791209369968|4817725701379588110|61942901,00|1641202898517|Best Egg
19791209369968|4863043172630003727|16657575,00|1655119008346|Best Egg
19791209369968|4850376798678024208|91178521,00|1651208553995|SunTrust
26388279066625|4901605244439363601|51499090,00|1666914245804|State Farm Bank
26388279066625|4892598045184622610|88681517,00|1664213144561|American Express
10995116317761|4894005420068175891|57692806,00|1664650260325|Citibank
10995116317761|4905545894113312788|54694894,00|1668203875097|US Bank
10995116317761|4769593480362065941|42447940,00|1626389270594|LightStream
13194139583313|4771563805199040534|946731,00|1627025037978|Best Egg
19791209369969|4854317448351973399|8031806,00|1652404039587|SoFi
19791209369969|4850095323701313560|29605865,00|1651140031550|SoFi
24189255821074|4916241943228317721|79151577,00|1671472683697|LendingPoint
24189255821074|4879368721279221786|97960749,00|1660104796326|Patch of Land
24189255821074|4868672672164216859|48751444,00|1656851360514|Chase Bank
6597069796658|4837428949749334044|1468307,00|1647223582531|TD Bank
6597069796658|4686839837209133085|733225,00|1600963464463|BlueVine
6597069796658|4735535008180076574|95240150,00|1615971379805|RealtyMogul
6597069796658|4880776096162775071|80018445,00|1660582945199|BlueVine
50002|4874583646675140640|17329085,00|1658617572049|TD Bank
50002|4649685140283326497|72385007,00|1589536948738|SoFi
50002|4673329038327021602|64129087,00|1596828605042|Earnest
50002|4632515166703976483|42334597,00|1584256024030|Fundbox
21990232625522|4861072847793029156|2890389,00|1654477031661|Kabbage
21990232625522|4852065648538288165|17506844,00|1651693246479|SoFi
21990232625522|4908360643880419366|20616363,00|1669004654368|TD Bank
21990232625522|4837147474772623399|49746907,00|1647157371986|Capital One
26388279066627|4908360643880419368|40928072,00|1669035782088|LightStream
26388279066627|4901042294485942313|2221031,00|1666756129559|Roofstock
26388279066627|4902731144346206250|22670585,00|1667337405656|LightStream
24189255831075|4878805771325800491|16015933,00|1659925490098|Chase Bank
